technique,model,F1-Score,Processing Time,ROC AUC,Memory Usage,Precision,Recall
no technique,Naive Bayes,0.8921807163081814,0.06021261215209961,0.7970010615711252,1.81640625,0.9333505007573729,0.8594704684317719
no technique,Naive Bayes,0.8988042655645408,0.05351829528808594,0.7872593718338399,1.765625,0.9292901590216031,0.8737270875763747
no technique,Naive Bayes,0.9015251588917516,0.04869556427001953,0.8219139096406972,1.8359375,0.9345305164052734,0.8767820773930753
no technique,Naive Bayes,0.9113789045306356,0.05438685417175293,0.8233519384522553,1.86328125,0.9471702751634361,0.8839103869653768
no technique,Naive Bayes,0.9028140919836419,0.058718204498291016,0.8106392106392106,1.859375,0.9438327713805154,0.8716904276985743
no technique,Naive Bayes,0.8852048926147774,0.05357813835144043,0.8404174648786717,1.79296875,0.9215405717592939,0.8584521384928717
no technique,Naive Bayes,0.8947598830059967,0.05585169792175293,0.8264353400222966,1.73046875,0.9305273807684334,0.8676171079429735
no technique,Naive Bayes,0.8981173314788138,0.06000804901123047,0.8259718775847809,1.98828125,0.924791568428762,0.8778004073319755
no technique,Naive Bayes,0.9099685912460961,0.05303692817687988,0.8571605857532886,1.8046875,0.9475765841391887,0.8808553971486762
no technique,Naive Bayes,0.9057754646460866,0.06432676315307617,0.818800178412132,1.75,0.9473776338634101,0.8757637474541752
no technique,SVM,0.9302969615753002,19.798916578292847,0.2810990338164251,12.01953125,0.9085079288703797,0.9531568228105907
no technique,SVM,0.9513900309083166,31.19200086593628,0.6598026315789474,13.03125,0.9358887676755946,0.9674134419551935
no technique,SVM,0.9468610203993288,30.064721822738647,0.455845527228843,12.48828125,0.9299872242109499,0.9643584521384929
no technique,SVM,0.9498798149181381,24.27401113510132,0.630999137848453,14.19921875,0.933919512528984,0.9663951120162932
no technique,SVM,0.9423369350278005,33.60760188102722,0.6462143175735949,11.9609375,0.9241043466718655,0.9613034623217923
no technique,SVM,0.9318000188913735,28.95333456993103,0.4180007114905727,11.5390625,0.9104502221245142,0.9541751527494908
no technique,SVM,0.9378177978442966,26.217982292175293,0.6971566315025531,12.1015625,0.9182401350583413,0.9582484725050916
no technique,SVM,0.9363125223852444,34.62760400772095,0.741691995947315,12.01953125,0.9162895458372912,0.9572301425661914
no technique,SVM,0.935803335626917,28.463401794433594,0.6866514690982776,15.6640625,0.9162478123034187,0.9562118126272913
no technique,SVM,0.9423369350278005,29.244829654693604,0.2842049509366637,13.390625,0.9241043466718655,0.9613034623217923
no technique,MLP,0.950880742014996,530.5804831981659,0.8439144736842106,3.0078125,0.9358566324316805,0.9663951120162932
no technique,MLP,0.9073094887790962,538.0482530593872,0.8155604207828269,3.1484375,0.879563021232335,0.9368635437881874
no technique,MLP,0.9525485870880979,552.1692497730255,0.8481055595129067,3.296875,0.9439257732073497,0.9643584521384929
no technique,MLP,0.9297878240249372,518.7084965705872,0.8463628762541806,3.6015625,0.9084624152170258,0.9521384928716904
no technique,MLP,0.9300882246710502,407.5838928222656,0.845965395804624,3.23046875,0.937754625825291,0.9511201629327902
no technique,MLP,0.9320789892037872,454.8754286766052,0.8353610814656707,3.46875,0.920368058002072,0.9511201629327902
no technique,MLP,0.935228915787249,468.04314255714417,0.8348759449505718,4.00390625,0.9356851905731743,0.955193482688391
no technique,MLP,0.95968886479672,478.173543214798,0.750087260034904,3.51171875,0.9535249001453566,0.9704684317718941
no technique,MLP,0.9333036320434487,528.9274716377258,0.8702267881372359,3.61328125,0.9123945893703775,0.955193482688391
no technique,MLP,0.9483263646995874,508.2430772781372,0.7988815789473684,3.12890625,0.9356949684484658,0.9613034623217923
no technique,Tree,0.9307535641547862,1.9886763095855713,0.6687359062751096,2.21484375,0.9307535641547862,0.9307535641547862
no technique,Tree,0.9266848510270348,1.8763902187347412,0.5690624919001581,1.875,0.9217759303313994,0.9317718940936863
